City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
319,mitu,1.1983,-70.1733,298.89,84,91,0.46,CO,1698535221
320,tutoia,-2.7619,-42.2744,299.89,76,30,9.0,BR,1698535223
321,balnearia,-31.0088,-62.6673,299.69,46,0,4.91,AR,1698535228
322,ulanhot,46.0833,122.0833,276.79,46,43,2.74,CN,1698535230
323,haiku-pauwela,20.9219,-156.3051,302.16,58,40,10.29,US,1698535232
324,mhamid,29.82,-5.72,296.85,29,70,4.01,MA,1698535234
325,letlhakane,-21.4167,25.5833,299.79,30,100,3.71,BW,1698535237
326,kapoeta,4.7717,33.5903,294.88,85,68,0.92,SS,1698535239
327,chimoio,-19.1164,33.4833,293.25,85,0,0.18,MZ,1698535242
328,yaren,-0.5472,166.916,301.52,70,80,2.38,NR,1698535244
329,al qadarif,14.0349,35.3834,296.45,79,69,3.44,SD,1698535246
330,semnan,35.5729,53.3971,289.57,31,2,1.18,IR,1698535248
331,queenstown,-31.8976,26.8753,279.7,81,100,4.32,ZA,1698535251
332,yanchep,-31.55,115.6833,289.05,72,19,2.31,AU,1698535253
333,tsiombe,-25.3,45.4833,296.35,77,0,1.97,MG,1698535255
334,kabalo,-6.05,26.9167,293.88,92,15,1.17,CD,1698535257
335,huanren,41.2647,125.3667,278.61,61,3,1.31,CN,1698535259
336,shevchenko,48.5,35.0,285.3,59,14,5.08,UA,1698535261
337,brookings,44.3114,-96.7984,270.44,86,100,4.63,US,1698535252
338,paragominas,-2.9667,-47.4833,305.59,34,63,1.7,BR,1698535265
339,paita,-5.0892,-81.1144,293.72,85,78,6.75,PE,1698535268
340,gao,16.6362,1.637,301.28,14,100,2.56,ML,1698535270
341,aleg,17.0481,-13.9209,305.49,15,5,1.33,MR,1698535272
342,nar'yan-mar,67.6713,53.087,260.99,90,100,3.58,RU,1698535274
343,vila velha,-20.3297,-40.2925,299.12,83,40,4.12,BR,1698535276
344,sijunjung,-0.6876,100.9537,294.75,86,21,0.71,ID,1698535278
345,coahuayana de hidalgo,18.7,-103.6583,301.88,76,85,2.02,MX,1698535281
346,goronyo,13.4423,5.6763,301.82,15,62,3.48,NG,1698535283
347,rawson,-43.3002,-65.1023,289.31,29,0,12.86,AR,1698535285
348,tandil,-37.3217,-59.1332,294.64,59,3,3.3,AR,1698535287
349,marandahalli,12.4,78.0,293.92,94,24,1.11,IN,1698535289
350,fort mcmurray,56.7268,-111.381,269.92,80,20,2.06,CA,1698535291
351,tofol,5.3248,163.0078,304.03,70,75,3.09,FM,1698535294
352,coracora,-15.0333,-73.7833,284.21,53,13,3.4,PE,1698535296
353,khovd,48.0056,91.6419,270.56,53,56,0.89,MN,1698535298
354,puerto aysen,-45.4,-72.7,277.53,99,100,2.11,CL,1698535300
355,kidal,18.4411,1.4078,301.66,11,28,3.02,ML,1698535302
356,aykhal,66.0,111.5,254.64,100,94,4.07,RU,1698535304
357,kapuskasing,49.4169,-82.4331,271.2,80,75,1.54,CA,1698535306
358,quiberon,47.4841,-3.1196,287.63,77,38,7.6,FR,1698535309
359,igarka,67.4667,86.5833,257.73,95,68,1.98,RU,1698535311
360,yinchuan,38.4681,106.2731,285.79,26,3,0.41,CN,1698535313
361,lagunas,-5.2269,-75.6753,301.85,67,100,1.07,PE,1698535315
362,nola,40.922,14.5329,292.94,86,2,0.65,IT,1698535317
